sample	mismatches	targets	observations	cut_rate	normalized_cut_rate
16hr-gDNA2	0	1	384	0.432292	1
16hr-gDNA2	1	63	1344	0.325149	0.752151
16hr-gDNA2	2	1321	3151	0.196763	0.455162
16hr-gDNA2	3	2874	3220	0.098758	0.228452
16hr-gDNA2	4	1838	1929	0.036288	0.083944
16hr-gDNA2	5	779	817	0.023256	0.053797
16hr-gDNA2	6	276	282	0.021277	0.049218
16hr-gDNA2	7	74	82	0.060976	0.141052
16hr-gDNA2	8	13	13	0	0
16hr-gDNA2	9	2	3	0	0
16hr-gDNA2	10	0	0	0	0
16hr-gDNA2	11	1	1	0	0
16hr-gDNA2	12	7	7	0	0
16hr-gDNA2	13	61	64	0	0
16hr-gDNA2	14	175	257	0.003891	0.009001
16hr-gDNA2	15	201	416	0	0
16hr-gDNA2	16	130	198	0.020202	0.046732
16hr-gDNA2	17	20	21	0	0
16hr-gDNA2	18	4	4	0	0
16hr-gDNA2	19	1	1	0	0
