sample	mismatches	targets	observations	cut_rate	normalized_cut_rate
16hr-gDNA1	0	1	394	0.380711	1
16hr-gDNA1	1	63	1532	0.351175	0.922419
16hr-gDNA1	2	1371	3521	0.203919	0.535628
16hr-gDNA1	3	3181	3557	0.10149	0.26658
16hr-gDNA1	4	2026	2119	0.041529	0.109083
16hr-gDNA1	5	854	899	0.01891	0.04967
16hr-gDNA1	6	298	317	0.015773	0.04143
16hr-gDNA1	7	75	83	0.048193	0.126586
16hr-gDNA1	8	17	18	0	0
16hr-gDNA1	9	3	3	0	0
16hr-gDNA1	10	0	0	0	0
16hr-gDNA1	11	3	3	0	0
16hr-gDNA1	12	10	11	0	0
16hr-gDNA1	13	65	70	0	0
16hr-gDNA1	14	178	258	0.007752	0.020362
16hr-gDNA1	15	238	489	0.002045	0.005372
16hr-gDNA1	16	134	225	0.004444	0.011674
16hr-gDNA1	17	29	30	0	0
16hr-gDNA1	18	5	5	0	0
