sample	mismatches	targets	observations	cut_rate	normalized_cut_rate
16hr+gDNA2	0	1	420	0.37381	1
16hr+gDNA2	1	63	1551	0.333978	0.893445
16hr+gDNA2	2	1451	4228	0.135289	0.361918
16hr+gDNA2	3	3741	4290	0.060606	0.162131
16hr+gDNA2	4	2412	2581	0.032158	0.086028
16hr+gDNA2	5	1061	1113	0.019766	0.052878
16hr+gDNA2	6	328	346	0.023121	0.061853
16hr+gDNA2	7	66	72	0.027778	0.07431
16hr+gDNA2	8	21	23	0	0
16hr+gDNA2	9	7	7	0	0
16hr+gDNA2	10	0	0	0	0
16hr+gDNA2	11	1	1	0	0
16hr+gDNA2	12	15	17	0	0
16hr+gDNA2	13	73	81	0	0
16hr+gDNA2	14	213	333	0.006006	0.016067
16hr+gDNA2	15	315	667	0.004498	0.012032
16hr+gDNA2	16	176	264	0.003788	0.010133
16hr+gDNA2	17	39	45	0	0
16hr+gDNA2	18	4	4	0	0
16hr+gDNA2	19	1	1	0	0
