sample	mismatches	targets	observations	cut_rate	normalized_cut_rate
16hr+gDNA1	0	1	493	0.401623	1
16hr+gDNA1	1	63	1553	0.374759	0.933111
16hr+gDNA1	2	1427	4040	0.165842	0.412929
16hr+gDNA1	3	3672	4213	0.087349	0.217489
16hr+gDNA1	4	2378	2530	0.034783	0.086605
16hr+gDNA1	5	999	1064	0.024436	0.060843
16hr+gDNA1	6	338	358	0.01676	0.04173
16hr+gDNA1	7	84	89	0.044944	0.111906
16hr+gDNA1	8	16	18	0.055556	0.138328
16hr+gDNA1	9	5	5	0	0
16hr+gDNA1	10	2	2	0	0
16hr+gDNA1	11	2	2	0	0
16hr+gDNA1	12	11	13	0	0
16hr+gDNA1	13	81	89	0.011236	0.027976
16hr+gDNA1	14	194	320	0.015625	0.038905
16hr+gDNA1	15	247	580	0.006897	0.017172
16hr+gDNA1	16	154	249	0	0
16hr+gDNA1	17	34	39	0	0
16hr+gDNA1	18	3	3	0	0
